EXOPLANET CANDIDATE RANKING — PHASE 9 FINAL OUTPUT
============================================================

Total candidates evaluated: 1979
HIGH confidence (score ≥ 0.80): 1112
MEDIUM confidence (0.50–0.79):  90
LOW / False Positives:          777

Rank   Cand. Index    Score        Tier       Agreement
-------------------------------------------------------
1      2              0.9997       HIGH       5/5
2      9              0.9997       HIGH       5/5
3      40             0.9997       HIGH       5/5
4      23             0.9997       HIGH       5/5
5      1517           0.9997       HIGH       5/5
6      45             0.9997       HIGH       5/5
7      53             0.9997       HIGH       5/5
8      1520           0.9997       HIGH       5/5
9      1487           0.9997       HIGH       5/5
10     1509           0.9997       HIGH       5/5
11     1486           0.9997       HIGH       5/5
12     1481           0.9997       HIGH       5/5
13     289            0.9997       HIGH       5/5
14     142            0.9997       HIGH       5/5
15     127            0.9997       HIGH       5/5
16     130            0.9997       HIGH       5/5
17     119            0.9997       HIGH       5/5
18     115            0.9997       HIGH       5/5
19     166            0.9997       HIGH       5/5
20     163            0.9997       HIGH       5/5
21     189            0.9997       HIGH       5/5
22     154            0.9997       HIGH       5/5
23     195            0.9997       HIGH       5/5
24     192            0.9997       HIGH       5/5
25     201            0.9997       HIGH       5/5
26     109            0.9997       HIGH       5/5
27     111            0.9997       HIGH       5/5
28     113            0.9997       HIGH       5/5
29     1154           0.9997       HIGH       5/5
30     1066           0.9997       HIGH       5/5
31     306            0.9997       HIGH       5/5
32     290            0.9997       HIGH       5/5
33     291            0.9997       HIGH       5/5
34     299            0.9997       HIGH       5/5
35     301            0.9997       HIGH       5/5
36     1246           0.9997       HIGH       5/5
37     1305           0.9997       HIGH       5/5
38     1187           0.9997       HIGH       5/5
39     1204           0.9997       HIGH       5/5
40     218            0.9997       HIGH       5/5
41     232            0.9997       HIGH       5/5
42     222            0.9997       HIGH       5/5
43     245            0.9997       HIGH       5/5
44     152            0.9997       HIGH       5/5
45     302            0.9997       HIGH       5/5
46     428            0.9997       HIGH       5/5
47     888            0.9997       HIGH       5/5
48     489            0.9997       HIGH       5/5
49     414            0.9997       HIGH       5/5
50     436            0.9997       HIGH       5/5
